class_id            class_acc           
                   0  0.9135802469135802
                   1  0.9153094462540716
                   2  0.8835978835978836
                   3  0.8794326241134752
                   4           0.8515625
                   5  0.5945945945945946
                   6  0.8208955223880597
                   7  0.9261363636363636
                   8  0.9185185185185185
                   9   0.973973973973974
                  10                 0.0
                  11                0.96
                  12  0.5892857142857143
                  13  0.9383116883116883
                  14  0.5925925925925926
                  15  0.5454545454545454
                  16  0.9670184696569921
                  17    0.98753339269813
                  18  0.9556354916067147
                  19                0.75
                  20              0.8125
                  21                 0.5
                  22  0.9452554744525548
                  23  0.9968206656731247
                  24  0.8704545454545455
                  25  0.9026548672566371
                  26  0.9633375474083439
                  27  0.9525691699604744
                  28  0.9921402660217654
                  29  0.9701149425287356
                  30  0.9629629629629629
                  31  0.9831932773109243
                  32  0.3333333333333333
                  33  0.9541284403669725
                  34  0.9715639810426541
                  35              0.9375
                  36  0.9615384615384616
                  37  0.8813559322033898
                  38  0.9979367262723521
                  39  0.9757785467128027
                  40                 0.0
                  41  0.9742857142857143
                  42                0.75
                  43   0.987825124515772
                  44  0.9709302325581395
                  45  0.9211822660098522
                  46   0.543859649122807
                  47  0.9444444444444444
                  48  0.8241758241758241
                  49  0.3157894736842105
                  50                 0.5
                  51  0.9958041958041958
                  52  0.8957528957528957
                  53  0.8571428571428571
                  54 0.15384615384615385
                  55  0.8833333333333333
                  56  0.8615384615384616
                  57  0.9745222929936306
                  58                 0.0
                  59  0.9582673005810882
                  60  0.9424083769633508
                  61  0.9057971014492754
                  62  0.8585858585858586
                  63  0.3333333333333333
                  64  0.9701173959445037
                  65  0.8934426229508197
                  66                 0.6
                  67  0.9774358974358974
                  68  0.9549763033175356
                  69  0.9727748691099476
                  70  0.9326923076923077
                  71  0.9666666666666667
                  72                 0.7
                  73  0.8969957081545065
                  74   0.971900826446281
                  75   0.968968968968969
                  76  0.9783001808318263
                  77  0.9741379310344828
                  78  0.9734693877551021
                  79  0.9593023255813954
                  80  0.9941561477325853
                  81  0.9962380590075239
                  82  0.9657960199004975
                  83              0.0625
                  84             0.84375
                  85  0.9587878787878787
                  86  0.9665871121718377
                  87  0.7450980392156863
                  88   0.845360824742268
                  89   0.975609756097561
                  90                 0.0
                  91  0.9748803827751196
                  92  0.8717948717948718
                  93  0.9359605911330049
                  94  0.9546511627906977
                  95  0.9184615384615384
                  96   0.631578947368421
                  97  0.5714285714285714
                  98  0.9207920792079208
                  99  0.6097560975609756
                 100  0.9739130434782609
                 101  0.9751131221719457
                 102  0.9452054794520548
                 103             0.96875
                 104               0.875
                 105  0.9504132231404959
                 106   0.980072463768116
                 107  0.6805555555555556
                 108  0.9426229508196722
                 109  0.8553459119496856
                 110                 0.0
                 111   0.969173859432799
                 112  0.9230769230769231
                 113  0.9491525423728814
                 114  0.9310344827586207
                 115   0.916030534351145
                 116  0.7027027027027027
                 117              0.3125
                 118  0.8888888888888888
                 119  0.8163265306122449
                 120 0.26666666666666666
