class_id            class_acc           
                   0                 1.0
                   1  0.9771986970684039
                   2  0.9682539682539683
                   3                 1.0
                   4                 1.0
                   5                 1.0
                   6                 1.0
                   7                 1.0
                   8                 1.0
                   9                 1.0
                  10                 0.0
                  11                 1.0
                  12                 1.0
                  13                 1.0
                  14                 1.0
                  15                 1.0
                  16  0.9986807387862797
                  17                 1.0
                  18                 1.0
                  19                 1.0
                  20                 1.0
                  21                 1.0
                  22                 1.0
                  23  0.9999006458022851
                  24  0.9977272727272727
                  25  0.9941002949852508
                  26  0.9974715549936789
                  27  0.9980237154150198
                  28                 1.0
                  29  0.9954022988505747
                  30                 1.0
                  31                 1.0
                  32  0.9166666666666666
                  33                 1.0
                  34                 1.0
                  35                 1.0
                  36                 1.0
                  37                 1.0
                  38                 1.0
                  39                 1.0
                  40                 0.8
                  41  0.9985714285714286
                  42  0.9886363636363636
                  43                 1.0
                  44                 1.0
                  45                 1.0
                  46  0.9824561403508771
                  47  0.9920634920634921
                  48   0.967032967032967
                  49                 1.0
                  50                 1.0
                  51                 1.0
                  52                 1.0
                  53                 1.0
                  54                 1.0
                  55  0.9833333333333333
                  56                 1.0
                  57                 1.0
                  58                 1.0
                  59  0.9989434759640782
                  60                 1.0
                  61                 1.0
                  62                 1.0
                  63  0.8888888888888888
                  64                 1.0
                  65                 1.0
                  66                 1.0
                  67                 1.0
                  68                 1.0
                  69                 1.0
                  70                 1.0
                  71                 1.0
                  72                 1.0
                  73                 1.0
                  74  0.9975206611570248
                  75  0.9994994994994995
                  76                 1.0
                  77                 1.0
                  78                 1.0
                  79                 1.0
                  80  0.9971949509116409
                  81  0.9999154620001691
                  82                 1.0
                  83                 1.0
                  84                 1.0
                  85  0.9951515151515151
                  86  0.9976133651551312
                  87                 1.0
                  88                 1.0
                  89                 1.0
                  90  0.6666666666666666
                  91                 1.0
                  92                 1.0
                  93                 1.0
                  94                 1.0
                  95                 1.0
                  96  0.9736842105263158
                  97                 1.0
                  98                 1.0
                  99                 1.0
                 100                 1.0
                 101                 1.0
                 102                 1.0
                 103                 1.0
                 104              0.9375
                 105                 1.0
                 106                 1.0
                 107                 1.0
                 108                 1.0
                 109  0.9937106918238994
                 110                 0.0
                 111                 1.0
                 112                 1.0
                 113                 1.0
                 114  0.9827586206896551
                 115                 1.0
                 116                 1.0
                 117                 1.0
                 118                 1.0
                 119                 1.0
                 120                 1.0
