class_id            class_acc           
                   0   0.985663082437276
                   1  0.9271137026239067
                   2  0.9798387096774194
                   3  0.9835164835164835
                   4                 1.0
                   5                 1.0
                   6  0.9854439592430859
                   7  0.9990123456790123
                   8  0.9947019867549669
                   9          0.99609375
                  10  0.9998745924253825
                  11  0.9022556390977443
                  12  0.9678456591639871
                  13  0.9888734353268428
                  14  0.9978165938864629
                  15  0.9979865771812081
                  16  0.9570707070707071
                  17  0.9947437582128777
                  18  0.9938977879481312
                  19  0.9425287356321839
                  20  0.9905362776025236
                  21  0.9987745098039216
                  22  0.9938056523422377
                  23  0.9053497942386831
                  24  0.8641686182669789
                  25  0.9847775175644028
                  26  0.9942528735632183
                  27                 1.0
                  28  0.9988636363636364
                  29  0.9694656488549618
                  30  0.9861111111111112
                  31  0.9955555555555555
                  32  0.9917506874427131
                  33  0.9966694421315571
                  34  0.9940298507462687
                  35  0.9991304347826087
                  36  0.9966024915062288
                  37  0.9968354430379747
                  38  0.9950091935907539
                  39  0.9979170185216462
                  40  0.9986282578875172
                  41  0.9814814814814815
                  42  0.9947916666666666
                  43  0.9986893840104849
                  44  0.9819121447028424
                  45  0.9778911564625851
                  46  0.9874686716791979
                  47  0.9834710743801653
                  48  0.9960159362549801
                  49  0.9779735682819384
                  50  0.9591836734693877
